Toode;Maht_ml;Protsent;Pood;Hind;Uuendatud;Link
Hele õlu PILSNER 4.2% 0.5L prk;500.0;4.2;Maxima;1.49;2025-11-06 06:11:00;https://ostukorvid.ee/tooted/c40ed829-7bcb-42b9-8c3d-6d23c2c52603/hele-olu-pilsner-42percent-05l-prk
BAYREUTHER HELL õlu hele 4,9% 50cl (klaas);500.0;4.9;Kaupmees;1.98;2025-11-06 09:11:00;https://ostukorvid.ee/tooted/78b84605-8b9f-489c-83e0-39cd7591834f/bayreuther-hell-olu-hele-49percent-50cl-klaas
Tume õlu EICHBAUM EXTRA STOUT 7,5%0,5L;500.0;7.5;Maxima;2.05;2025-11-06 06:11:00;https://ostukorvid.ee/tooted/be532f10-296a-4a35-9809-b11de3dc0df5/tume-olu-eichbaum-extra-stout-75percent05l
KINGFISHER õlu Premium hele 4,8% 33cl (klaas) India;330.0;4.8;Kaupmees;1.88;2025-11-06 09:11:00;https://ostukorvid.ee/tooted/918f56da-0f81-4846-9a84-4de03603e625/kingfisher-olu-premium-hele-48percent-33cl-klaas-india
Hele õlu ALEXANDER 5.2% 568ml, prk;568.0;5.2;Maxima;1.69;2025-11-06 06:11:00;https://ostukorvid.ee/tooted/b93cfd3a-bc9b-4d39-af36-b3746a5c1691/hele-olu-alexander-52percent-568ml-prk
Hele õlu BUDWEISER Budvar 5% 500ml;500.0;5.0;Maxima;1.79;2025-11-06 06:12:00;https://ostukorvid.ee/tooted/64f8222c-7fe7-4ace-95e4-1410f5ccbfad/hele-olu-budweiser-budvar-5percent-500ml
Õlu Walter Original 4,2%vol 0,5l purk;500.0;4.2;Rimi;0.79;2025-11-06 10:48:00;https://ostukorvid.ee/tooted/dae48af9-4363-4094-a627-2669a1a0a784/olu-walter-original-42percentvol-05l-purk
Pihtla Viikingi Karje kange hele õlu 10.5% vol 0.33L;330.0;10.5;Coop;3.99;2025-11-06 08:12:00;https://ostukorvid.ee/tooted/947c124f-2e93-4bdc-bac4-f0ceab603b5c/pihtla-viikingi-karje-kange-hele-olu-105percent-vol-033l
Franziskaner Hefe-Weissbier hele õlu 5% 0.5L;500.0;5.0;Selver;2.19;2025-11-06 03:12:00;https://ostukorvid.ee/tooted/7169be63-c2e3-45b4-ab1f-b47ced1f05ac/franziskaner-hefe-weissbier-hele-olu-5percent-05l
Franziskaner Hefe-Weissbier hele õlu 5% 0.5L;500.0;5.0;Kaupmees;2.65;2025-11-06 09:12:00;https://ostukorvid.ee/tooted/7169be63-c2e3-45b4-ab1f-b47ced1f05ac/franziskaner-hefe-weissbier-hele-olu-5percent-05l
