Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
FIZZ Siider Pear Splash 4,5% 33cl-24-pakk (purk, kohver);7920.0;4.5;356.4;22.557;Hinnapomm;15.8;2025-10-13 14:48:00;https://ostukorvid.ee/tooted/0ecfc104-b394-4059-b7a4-383e90770e78/fizz-siider-pear-splash-45percent-33cl-24-pakk-purk-kohver
Tanker siider 5.5% vol 0.5L;500.0;5.5;27.5;20.37;Kaupmees;1.35;2025-11-12 06:49:00;https://ostukorvid.ee/tooted/ef90bfbf-dbc2-4e15-9d16-b6427f31fff1/tanker-siider-55percent-vol-05l
SIP Pirni siider 5% 1,5L;1500.0;5.0;75.0;20.325;Maxima;3.69;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/1b2e220c-89c0-4cba-abdc-4d5045224f2e/sip-pirni-siider-5percent-15l
SIP Õuna siider 5% 1,5L;1500.0;5.0;75.0;20.325;Maxima;3.69;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/f561bb58-d19f-40cf-b2d0-20dbf13a53d6/sip-ouna-siider-5percent-15l
SIP Pirni siider 5% 1,5L;1500.0;5.0;75.0;19.789;Prisma;3.79;2025-04-16 14:46:00;https://ostukorvid.ee/tooted/1b2e220c-89c0-4cba-abdc-4d5045224f2e/sip-pirni-siider-5percent-15l
SIP Õuna siider 5% 1,5L;1500.0;5.0;75.0;19.789;Prisma;3.79;2025-04-16 14:50:00;https://ostukorvid.ee/tooted/f561bb58-d19f-40cf-b2d0-20dbf13a53d6/sip-ouna-siider-5percent-15l
Õunasiider TANKER poolkuiv 5.5% 500ml;500.0;5.5;27.5;19.784;Maxima;1.39;2025-11-12 05:45:00;https://ostukorvid.ee/tooted/b3863fd4-e1e9-4801-9a39-3106805dc975/ounasiider-tanker-poolkuiv-55percent-500ml
Õunasiider SAKU Antvärk Karge 5.8% 500ml;500.0;5.8;29.0;19.463;Maxima;1.49;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/4d2d511e-80e9-418d-b188-0f7d3d4ccb05/ounasiider-saku-antvark-karge-58percent-500ml
Siider Hoggys Hard Cider 5,5%vol 0,5l purk;500.0;5.5;27.5;18.456;Rimi;1.49;2025-11-12 08:47:00;https://ostukorvid.ee/tooted/4189e62e-43a8-4713-a0e0-d02656bca21c/siider-hoggys-hard-cider-55percentvol-05l-purk
Tanker siider 5.5% vol 0.5L;500.0;5.5;27.5;18.456;Coop;1.49;2024-07-20 14:49:00;https://ostukorvid.ee/tooted/ef90bfbf-dbc2-4e15-9d16-b6427f31fff1/tanker-siider-55percent-vol-05l
