Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Aromatiseeritud vein COLIBRI Spritz 31, 8%, 200 ml;200.0;31.8;63.6;45.755;Sumena;1.39;2025-11-12 07:11:00;https://ostukorvid.ee/tooted/5af69c28-d906-49eb-bffb-ee282b34aa8c/aromatiseeritud-vein-colibri-spritz-31-8percent-200-ml
Detunda Cabernet Sauvignon Tempranillo KGT vein 12,5% 3L;3000.0;12.5;375.0;25.017;Kaupmees;14.99;2025-11-12 06:18:00;https://ostukorvid.ee/tooted/a4f3cf9e-561e-443f-82e5-acbe54ef2edf/detunda-cabernet-sauvignon-tempranillo-kgt-vein-125percent-3l
Valge Vein Alexandre Montmirel Colombard Sauvignon 12% 10L;10000.0;12.0;1200.0;24.49;Sumena;49.0;2025-11-12 07:13:00;https://ostukorvid.ee/tooted/ee3a691c-e1b6-4006-9d77-de2b51e2d80a/valge-vein-alexandre-montmirel-colombard-sauvignon-12percent-10l
Inycon Appassimento Shiraz KGT vein 13,5%vol 3L;3000.0;13.5;405.0;23.964;Kaupmees;16.9;2025-11-12 06:13:00;https://ostukorvid.ee/tooted/9158f04d-b4aa-486e-8abf-ddcfdec2be3a/inycon-appassimento-shiraz-kgt-vein-135percentvol-3l
Vein BARON ROSEN T.M.Sw. 11.5% 1L tetra;1000.0;11.5;115.0;23.046;Maxima;4.99;2025-11-12 05:22:00;https://ostukorvid.ee/tooted/cfa981b1-2358-46cd-a60c-838cd5804318/vein-baron-rosen-tmsw-115percent-1l-tetra
Agdam Red kangestatud puuviljavein 19%vol 500ml;500.0;19.0;95.0;22.145;Prisma;4.29;2025-04-16 15:17:00;https://ostukorvid.ee/tooted/a2b9ca86-2189-4f06-8147-08052b976f95/agdam-red-kangestatud-puuviljavein-19percentvol-500ml
Vein BARON ROSEN Blan.M.Sw. 11% 1L tetra;1000.0;11.0;110.0;22.044;Maxima;4.99;2025-11-12 05:18:00;https://ostukorvid.ee/tooted/9e08193d-2b07-4d4f-a157-9ccad6041257/vein-baron-rosen-blanmsw-11percent-1l-tetra
Vein Bellissimo White Semi Dry 11% 3l;3000.0;11.0;330.0;22.015;Rimi;14.99;2025-11-12 09:09:00;https://ostukorvid.ee/tooted/41ec0585-b603-4ad7-984d-d9503b1c9354/vein-bellissimo-white-semi-dry-11percent-3l
Detunda Sauvignon Blanc KGT vein 12,5% 3L;3000.0;12.5;375.0;21.714;Kaupmees;17.27;2025-11-12 06:24:00;https://ostukorvid.ee/tooted/e3e0ce98-3e63-4c58-aa3c-00d106482934/detunda-sauvignon-blanc-kgt-vein-125percent-3l
Detunda Cabernet Sauvignon Tempranillo KGT vein 12,5% 3L;3000.0;12.5;375.0;20.281;Prisma;18.49;2024-07-20 15:18:00;https://ostukorvid.ee/tooted/a4f3cf9e-561e-443f-82e5-acbe54ef2edf/detunda-cabernet-sauvignon-tempranillo-kgt-vein-125percent-3l
Detunda Sauvignon Blanc KGT vein 12,5% 3L;3000.0;12.5;375.0;20.281;Prisma;18.49;2024-07-20 15:24:00;https://ostukorvid.ee/tooted/e3e0ce98-3e63-4c58-aa3c-00d106482934/detunda-sauvignon-blanc-kgt-vein-125percent-3l
Geograafilise tähisega vein Chill Out Cabernet Sauvignon Australia 13,5%vol 3l;3000.0;13.5;405.0;20.26;Rimi;19.99;2025-11-12 08:16:00;https://ostukorvid.ee/tooted/10e93c03-3e24-474f-9917-9210a510941f/geograafilise-tahisega-vein-chill-out-cabernet-sauvignon-australia-135percentvol-3l
Bostavan Pastoral Red Liqueur Wine liköörvein 16%vol 750ml;750.0;16.0;120.0;20.168;Hinnapomm;5.95;2025-11-12 08:20:00;https://ostukorvid.ee/tooted/98d6e431-d981-4de8-88ce-c0994fdf90cf/bostavan-pastoral-red-liqueur-wine-likoorvein-16percentvol-750ml
Chill Out Rose vein 12%vol 3L;3000.0;12.0;360.0;20.101;Kaupmees;17.91;2025-11-12 06:14:00;https://ostukorvid.ee/tooted/730b10bb-f377-4880-9e0c-10891f1deb1d/chill-out-rose-vein-12percentvol-3l
Vein BIB Rose Chill Out 12%vol 3l;3000.0;12.0;360.0;20.011;Rimi;17.99;2025-11-12 08:08:00;https://ostukorvid.ee/tooted/96ba6b5e-5f7f-41d2-9810-feb2d849b953/vein-bib-rose-chill-out-12percentvol-3l
Agdam Red kangestatud puuviljavein 19%vol 500ml;500.0;19.0;95.0;19.958;Kaupmees;4.76;2025-11-12 06:17:00;https://ostukorvid.ee/tooted/a2b9ca86-2189-4f06-8147-08052b976f95/agdam-red-kangestatud-puuviljavein-19percentvol-500ml
Inycon Settesoli Pinot Grigio Organic KPN vein 12,5%vol 3L;3000.0;12.5;375.0;19.841;Kaupmees;18.9;2025-11-12 06:25:00;https://ostukorvid.ee/tooted/090431f0-ad23-4c12-8c83-250e320b90a5/inycon-settesoli-pinot-grigio-organic-kpn-vein-125percentvol-3l
Chill Out Smooth & Soft Cabernet Sauvignon GT vein 13,5% 3L;3000.0;13.5;405.0;19.766;Prisma;20.49;2025-04-16 15:20:00;https://ostukorvid.ee/tooted/405f2375-5376-4fc8-a20f-5a84c3f37cd1/chill-out-smooth-and-soft-cabernet-sauvignon-gt-vein-135percent-3l
Kaitstud geograafilise tähisega vein Poggio Fiorito Primi. Puglia 13% 3l;3000.0;13.0;390.0;19.51;Rimi;19.99;2025-11-12 08:10:00;https://ostukorvid.ee/tooted/98379b12-b444-4954-890c-e05cc9a37632/kaitstud-geograafilise-tahisega-vein-poggio-fiorito-primi-puglia-13percent-3l
Inycon Appassimento Shiraz KGT vein 13,5%vol 3L;3000.0;13.5;405.0;19.295;Prisma;20.99;2025-04-16 15:13:00;https://ostukorvid.ee/tooted/9158f04d-b4aa-486e-8abf-ddcfdec2be3a/inycon-appassimento-shiraz-kgt-vein-135percentvol-3l
Casa Charlize Floreale Pinot Grigio KGT vein 12%vol 3L;3000.0;12.0;360.0;19.251;Kaupmees;18.7;2025-11-08 15:15:00;https://ostukorvid.ee/tooted/447328b7-fb08-4e38-97c7-1655ceef4020/casa-charlize-floreale-pinot-grigio-kgt-vein-12percentvol-3l
Il Capolavoro Pinot Grigio vein 12,5%vol 2,25L;2250.0;12.5;281.25;18.876;Kaupmees;14.9;2025-11-12 06:23:00;https://ostukorvid.ee/tooted/130bbedf-e0f5-46c8-88e5-aa47c60caf20/il-capolavoro-pinot-grigio-vein-125percentvol-225l
Vein Chill Out Blanc South Africa 12,5%vol 3l;3000.0;12.5;375.0;18.759;Rimi;19.99;2025-11-12 08:09:00;https://ostukorvid.ee/tooted/30a80237-7ed7-431b-ba3e-c53c58714009/vein-chill-out-blanc-south-africa-125percentvol-3l
KAROLIINA Hõõgvein 11% 500cl (punane);5000.0;11.0;550.0;18.333;Kaupmees;30.0;2025-11-12 06:22:00;https://ostukorvid.ee/tooted/e5a6afe4-1d0c-45f5-be45-bfc3b647c8ef/karoliina-hoogvein-11percent-500cl-punane
Chill Out Chenin Blanc BIB GT vein 12,5%vol 3l;3000.0;12.5;375.0;18.302;Prisma;20.49;2025-04-16 15:08:00;https://ostukorvid.ee/tooted/c3ab0e50-ff69-459d-ba92-9bb60ec8e33d/chill-out-chenin-blanc-bib-gt-vein-125percentvol-3l
Vein Baron Rosen Vino Rose Medium-Sweet 10%vol 1l;1000.0;10.0;100.0;18.215;Rimi;5.49;2025-11-12 08:18:00;https://ostukorvid.ee/tooted/da639445-c93b-4101-9382-900739a771ac/vein-baron-rosen-vino-rose-medium-sweet-10percentvol-1l
Chill Out Smooth & Soft Cabernet Sauvignon GT vein 13,5% 3L;3000.0;13.5;405.0;18.113;Kaupmees;22.36;2025-11-12 06:20:00;https://ostukorvid.ee/tooted/405f2375-5376-4fc8-a20f-5a84c3f37cd1/chill-out-smooth-and-soft-cabernet-sauvignon-gt-vein-135percent-3l
Vein CASTILLO DE MUREVA valge 11% 1L;1000.0;11.0;110.0;18.062;Maxima;6.09;2025-11-12 05:24:00;https://ostukorvid.ee/tooted/b039f05c-8c1e-41d4-9ed0-0c544cf17f77/vein-castillo-de-mureva-valge-11percent-1l
Vein CASTILLO DE MUREVA punane 11% 1L;1000.0;11.0;110.0;18.062;Maxima;6.09;2025-11-12 05:25:00;https://ostukorvid.ee/tooted/3acf4bde-1ece-4c57-9023-baff970226eb/vein-castillo-de-mureva-punane-11percent-1l
Hardys Nottage Hill Cabernet Sauvignon Shiraz GT vein 14%vol 1,5 l;1500.0;14.0;210.0;18.01;Hinnapomm;11.66;2025-11-12 07:17:00;https://ostukorvid.ee/tooted/0db5717c-3af5-4a7c-a168-c169e3a593b0/hardys-nottage-hill-cabernet-sauvignon-shiraz-gt-vein-14percentvol-15-l
Kaitstud päritolunimetusega vein Pinot Grigio 12% 3l;3000.0;12.0;360.0;18.009;Rimi;19.99;2025-11-12 08:21:00;https://ostukorvid.ee/tooted/f65b523f-0fbc-45e1-8bf0-ce977b21f870/kaitstud-paritolunimetusega-vein-pinot-grigio-12percent-3l
Kaitstud päritolunimetusega vein Pinot Grigio Blush 12% 3l;3000.0;12.0;360.0;18.009;Rimi;19.99;2025-11-12 08:26:00;https://ostukorvid.ee/tooted/a5c942bf-4889-47f3-9d90-4f52f2effd57/kaitstud-paritolunimetusega-vein-pinot-grigio-blush-12percent-3l
Vein Carreras Tempranillo Rose 12%vol 3l;3000.0;12.0;360.0;17.743;Rimi;20.29;2025-11-12 08:11:00;https://ostukorvid.ee/tooted/22645310-c48d-46c8-ad35-fbe523ae369d/vein-carreras-tempranillo-rose-12percentvol-3l
Vein Carreras Verdejo-Airen 12%vol 3l;3000.0;12.0;360.0;17.743;Rimi;20.29;2025-11-12 08:23:00;https://ostukorvid.ee/tooted/81158614-b70b-4601-bae4-4d675de92661/vein-carreras-verdejo-airen-12percentvol-3l
Vein Carreras Tempranillo 12%vol 3l;3000.0;12.0;360.0;17.743;Rimi;20.29;2025-11-12 08:25:00;https://ostukorvid.ee/tooted/1c8826b5-4e70-43f1-94ad-fb4523832905/vein-carreras-tempranillo-12percentvol-3l
Valge vein Botas de Barro Verdejo Ruedo 13% 0,75 L;750.0;13.0;97.5;17.727;Sumena;5.5;2025-11-12 07:22:00;https://ostukorvid.ee/tooted/1799a9f3-a96a-4136-9e93-4153067b44f6/valge-vein-botas-de-barro-verdejo-ruedo-13percent-075-l
Chill Out Rose vein 12%vol 3L;3000.0;12.0;360.0;17.57;Prisma;20.49;2025-04-16 15:14:00;https://ostukorvid.ee/tooted/730b10bb-f377-4880-9e0c-10891f1deb1d/chill-out-rose-vein-12percentvol-3l
