Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Viin Beloff 40% 0,5l;500.0;40.0;200.0;33.445;Rimi;5.98;2025-11-12 08:56:00;https://ostukorvid.ee/tooted/203fe36d-6807-47ba-a922-c5fafb710fa3/viin-beloff-40percent-05l
Viin POOLIK 40% 500ml;500.0;40.0;200.0;33.389;Maxima;5.99;2025-11-12 05:57:00;https://ostukorvid.ee/tooted/b04a3929-c33f-4523-8927-e96e1fbf6c8b/viin-poolik-40percent-500ml
Viin Beloff 37,5% 0,5l;500.0;37.5;187.5;32.666;Rimi;5.74;2025-11-12 07:56:00;https://ostukorvid.ee/tooted/7ded77d4-1f6e-4e21-b8cb-62ca10b3d0d6/viin-beloff-375percent-05l
Viin POOLIK 37.5% 500ml;500.0;37.5;187.5;32.609;Maxima;5.75;2025-11-12 05:56:00;https://ostukorvid.ee/tooted/a2044500-4316-4284-9123-ea1f60a8ac98/viin-poolik-375percent-500ml
Ehe viin 37.5% 0.5L;500.0;37.5;187.5;31.302;Coop;5.99;2025-11-12 05:52:00;https://ostukorvid.ee/tooted/9df2d189-7577-4de9-9254-39cd6d3b8e7e/ehe-viin-375percent-05l
Ehe viin 40% vol 0.5L;500.0;40.0;200.0;30.817;Coop;6.49;2025-11-12 06:02:00;https://ostukorvid.ee/tooted/e79fa45f-fe53-46f3-a9e1-9710e88a3cd3/ehe-viin-40percent-vol-05l
Viin POOLIK 40% 1L;1000.0;40.0;400.0;30.793;Maxima;12.99;2025-11-12 06:05:00;https://ostukorvid.ee/tooted/3c928427-2540-42f2-966d-2b925d7d84f0/viin-poolik-40percent-1l
Halti vodka 40%vol 0,5L;500.0;40.0;200.0;30.075;Hinnapomm;6.65;2025-11-12 07:57:00;https://ostukorvid.ee/tooted/3d47b5ef-4266-4629-9702-edda26bb3a00/halti-vodka-40percentvol-05l
Ekstra viin 40% vol 0.5L;500.0;40.0;200.0;29.851;Kaupmees;6.7;2025-11-12 06:54:00;https://ostukorvid.ee/tooted/1e639ac2-5e7d-4629-a200-d5dbae725a32/ekstra-viin-40percent-vol-05l
Talu Viin PET 80% 0.5;500.0;80.0;400.0;29.63;Hinnapomm;13.5;2025-11-12 07:51:00;https://ostukorvid.ee/tooted/0941a12d-2435-4012-b553-0fbce08d2fa8/talu-viin-pet-80percent-05
Laua Viin 40% 10×0,5 L Pet kohver;5000.0;40.0;2000.0;28.977;Hinnapomm;69.02;2025-11-12 07:58:00;https://ostukorvid.ee/tooted/2caf9d9c-a94b-4349-880a-41a57c3a14ac/laua-viin-40percent-1005-l-pet-kohver
VIIN viin 40% vol 0.5L;500.0;40.0;200.0;28.902;Hinnapomm;6.92;2025-11-12 07:51:00;https://ostukorvid.ee/tooted/305b8ee5-e2a0-44be-a36b-f4d1c46f92bb/viin-viin-40percent-vol-05l
Üle Küla Viin 0.5 klaas 40%;500.0;40.0;200.0;28.902;Hinnapomm;6.92;2025-11-12 07:53:00;https://ostukorvid.ee/tooted/f08a4750-417e-4035-9fbf-f8e79298512a/ule-kula-viin-05-klaas-40percent
Puhas Viin HÕBEFILTREERITUD 0.5 pet 40%;500.0;40.0;200.0;28.902;Hinnapomm;6.92;2025-11-12 07:05:00;https://ostukorvid.ee/tooted/9f774280-ec5b-416e-89de-4816d18d3793/puhas-viin-hobefiltreeritud-05-pet-40percent
Vodka Budem! 40%vol 0.5L klaas;500.0;40.0;200.0;28.289;Hinnapomm;7.07;2025-11-12 07:55:00;https://ostukorvid.ee/tooted/73950faf-ebe0-4fee-bc13-80c965406448/vodka-budem-40percentvol-05l-klaas
Hundijalavesi viin 40% vol 0.5L;500.0;40.0;200.0;28.289;Hinnapomm;7.07;2025-11-12 08:02:00;https://ostukorvid.ee/tooted/883d389e-832d-417d-9ae6-9dd8fb2149fb/hundijalavesi-viin-40percent-vol-05l
Viin PEREPJOLKA Classic 40% 700ml;700.0;40.0;280.0;28.028;Maxima;9.99;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/b01b470e-b93d-4027-9f4f-e2d45b12e308/viin-perepjolka-classic-40percent-700ml
Viin POOLIK 40%700 ml;700.0;40.0;280.0;28.028;Maxima;9.99;2025-11-12 05:55:00;https://ostukorvid.ee/tooted/4b8fcfad-270e-4793-9379-b10006f4642e/viin-poolik-40percent700-ml
Viin LAUA  40% 700ml;700.0;40.0;280.0;28.028;Maxima;9.99;2025-11-12 05:56:00;https://ostukorvid.ee/tooted/55d97c1e-cf40-4f29-aa1c-2c3d5e828e7d/viin-laua-40percent-700ml
Viin PEREPJOLKA Molochna 40% 700ml;700.0;40.0;280.0;28.028;Maxima;9.99;2025-11-12 05:56:00;https://ostukorvid.ee/tooted/ab971923-f265-4a37-bb59-94c2805cc828/viin-perepjolka-molochna-40percent-700ml
Viin STARQJ KNJAZ 40% 500ml;500.0;40.0;200.0;27.972;Maxima;7.15;2025-11-12 05:56:00;https://ostukorvid.ee/tooted/a448d41d-c245-4609-b0b7-2c7837d78cd4/viin-starqj-knjaz-40percent-500ml
